cabinet,rack,slot,module,channel,plc_address,wois_address,tag,description,sensor_code,sensor_type,range,unit,scale,deadband,limit,event,tested,note,derived_from
CFC,A1,5,Siemens 6ES7 422-1BL00-0AA0; 32 channels; 24VDC output,0,Q10.0,M10.0,CFC0_1D007RNG,Engine running indication,,DO,,,,,,OUT,ok,,
CFC,A1,5,Siemens 6ES7 422-1BL00-0AA0; 32 channels; 24VDC output,1,Q10.1,M10.1,CFC0_1D008ING,Engine stopped indication,,DO,,,,,,OUT,ok,,
CFC,A1,5,Siemens 6ES7 422-1BL00-0AA0; 32 channels; 24VDC output,2,Q10.2,M10.2,CFC0_1D009CLO,Breaker closed indication,,DO,,,,,,OUT,ok,,
CFC,A1,5,Siemens 6ES7 422-1BL00-0AA0; 32 channels; 24VDC output,3,Q10.3,M10.3,CFC0_1D010OPN,Breaker open indication,,DO,,,,,,OUT,ok,,
CFC,A1,5,Siemens 6ES7 422-1BL00-0AA0; 32 channels; 24VDC output,4,Q10.4,M10.4,CFC0_1D011SDG,Engine shutdown indication,,DO,,,,,,OUT,ok,,
CFC,A1,5,Siemens 6ES7 422-1BL00-0AA0; 32 channels; 24VDC output,5,Q10.5,M10.5,CFC0_1D012TRG,Breaker trip indication,,DO,,,,,,OUT,ok,,
CFC,A1,5,Siemens 6ES7 422-1BL00-0AA0; 32 channels; 24VDC output,6,Q10.6,M10.6,CFC0_1D006STA,PLC synchronizing select,,DO,,,,,,OUT,ok,,
CFC,A1,5,Siemens 6ES7 422-1BL00-0AA0; 32 channels; 24VDC output,7,Q10.7,M10.7,CFC0_1D009INTL,Enable breaker closure,,DO,,,,,,OUT,ok,,
CFC,A1,5,Siemens 6ES7 422-1BL00-0AA0; 32 channels; 24VDC output,8,Q11.0,M11.0,CFC0_1D006INTL,Enable synchronizing control,,DO,,,,,,OUT,ok,,
CFC,A1,5,Siemens 6ES7 422-1BL00-0AA0; 32 channels; 24VDC output,10,Q11.2,M11.2,CFC0_1D013RNG,Engine running,,DO,,,,,,OUT,ok,,
CFC,A1,5,Siemens 6ES7 422-1BL00-0AA0; 32 channels; 24VDC output,11,Q11.3,M11.3,CFC0_1D013SEL,PLC synchronizing select for AVR,,DO,,,,,,OUT,ok,,
CFC,A1,5,Siemens 6ES7 422-1BL00-0AA0; 32 channels; 24VDC output,12,Q11.4,M11.4,BLQ0_1M001RO,Ventilation fan 1 control,,DO,,,,,,OUT,ok,,
CFC,A1,5,Siemens 6ES7 422-1BL00-0AA0; 32 channels; 24VDC output,13,Q11.5,M11.5,BLQ0_1M002RO,Ventilation fan 2 control,,DO,,,,,,OUT,ok,,
CFC,A1,5,Siemens 6ES7 422-1BL00-0AA0; 32 channels; 24VDC output,14,Q11.6,M11.6,BAN0_1Q000CLC,NGR open control,,DO,,,,,,OUT,ok,,
CFC,A1,5,Siemens 6ES7 422-1BL00-0AA0; 32 channels; 24VDC output,15,Q11.7,M11.7,BAN0_1Q0001PC,NGR closed control 1,,DO,,,,,,OUT,ok,,
CFC,A1,5,Siemens 6ES7 422-1BL00-0AA0; 32 channels; 24VDC output,16,Q12.0,M12.0,BAN0_1Q002OPC,NGR closed control 2,,DO,,,,,,OUT,oklast signal change 23.5.2017,,
CFC,A1,5,Siemens 6ES7 422-1BL00-0AA0; 32 channels; 24VDC output,17,Q12.1,M12.1,CFC0_1NewAlm,Unacknowledged alarm,,DO,,,,,,OUT,okTo be used for control room horm,,
CFC,A1,6,Siemens 6ES7 421-1BL01-0AA0; 32 channels; 24VDC input,0,I40.0,"M140.0 DB300,X45.0",CFC0_1F000AG,MCB open in CFC0_1,,NC,,,,,,ALM,ok,,
CFC,A1,6,Siemens 6ES7 421-1BL01-0AA0; 32 channels; 24VDC input,1,I40.1,M40.1,CFC0_1S001ACE,Auto mode operation,,NO,,,,,,CONT,ok,,
CFC,A1,6,Siemens 6ES7 421-1BL01-0AA0; 32 channels; 24VDC input,2,I40.2,M40.2,CFC0_1S002RNG,Engine control kw/ isoch. mode,,NO,,,,,,CONT,ok,,
CFC,A1,6,Siemens 6ES7 421-1BL01-0AA0; 32 channels; 24VDC input,3,I40.3,M40.3,CFC0_1S003RNG,Generator control P.F. mode,,NO,,,,,,CONT,ok,,
CFC,A1,6,Siemens 6ES7 421-1BL01-0AA0; 32 channels; 24VDC input,4,I40.4,M40.4,CFC0_1S004INC,Speed/ Load increase,,NO,,,,,,CONT,ok,,
CFC,A1,6,Siemens 6ES7 421-1BL01-0AA0; 32 channels; 24VDC input,5,I40.5,M40.5,CFC0_1S004DEC,Speed/ Load decrease,,NO,,,,,,CONT,ok,,
CFC,A1,6,Siemens 6ES7 421-1BL01-0AA0; 32 channels; 24VDC input,6,I40.6,M40.6,CFC0_1S005INC,Excitation increase,,NO,,,,,,CONT,ok,,
